Date,Ticker,Close,Close_Percent_Change,Period_Change,Real_Close
04/30/1975,_SETID,4.892367906,,,22.41706668
05/01/1975,_SETID,4.892367906,0,0,22.20717977
05/02/1975,_SETID,4.890410959,-0.0004,-0.001956947,22.1982969
05/05/1975,_SETID,4.88801956,-0.000488998,-0.002391399,22.18744198
05/06/1975,_SETID,4.869373777,-0.003814588,-0.018645783,22.10280602
05/07/1975,_SETID,4.847432763,-0.004505921,-0.021941014,22.00321252
05/08/1975,_SETID,4.788649706,-0.012126637,-0.058783056,21.73638756
05/09/1975,_SETID,4.725672372,-0.013151376,-0.062977335,21.45052414
05/12/1975,_SETID,4.663569682,-0.013141556,-0.062102689,21.16863087
05/13/1975,_SETID,4.525672372,-0.029569047,-0.137897311,20.54269463
05/14/1975,_SETID,4.504156479,-0.004754187,-0.021515892,20.44503082
05/15/1975,_SETID,4.418786693,-0.018953557,-0.085369786,20.05752477
05/16/1975,_SETID,4.376223092,-0.009632418,-0.042563601,19.8643223
05/19/1975,_SETID,4.259657702,-0.026636071,-0.11656539,19.3352148
05/20/1975,_SETID,4.192176039,-0.015842039,-0.067481663,19.02890557
05/21/1975,_SETID,4.192176039,0,0,19.02890557
05/22/1975,_SETID,4.446943765,0.060772192,0.254767726,20.18533387
05/23/1975,_SETID,4.494376528,0.010666373,0.047432763,20.40063818
05/26/1975,_SETID,4.434718826,-0.013273855,-0.059657702,20.12984307
05/27/1975,_SETID,4.346699267,-0.019847833,-0.08801956,19.7303093
05/28/1975,_SETID,4.382093933,0.008142884,0.035394667,19.89097092
05/29/1975,_SETID,4.4,0.00408619,0.017906067,19.9722492
05/30/1975,_SETID,4.402152642,0.000489237,0.002152642,19.98202035
06/02/1975,_SETID,4.37799511,-0.005487663,-0.024157532,20.07133525
06/03/1975,_SETID,4.37799511,0,0,20.07133525
06/04/1975,_SETID,4.372616137,-0.001228638,-0.005378973,20.04667483
06/05/1975,_SETID,4.379462103,0.001565645,0.006845966,20.07806081
06/06/1975,_SETID,4.378973105,-0.000111657,-0.000488998,20.07581896
06/09/1975,_SETID,4.380626223,0.000377513,0.001653118,20.08339783
06/10/1975,_SETID,4.378484108,-0.000488998,-0.002142116,20.0735771
06/11/1975,_SETID,4.400488998,0.005025687,0.02200489,20.17446061
06/12/1975,_SETID,4.406754772,0.001423881,0.006265775,20.20318666
06/13/1975,_SETID,4.410268949,0.000797452,0.003514176,20.21929773
06/16/1975,_SETID,4.430806846,0.004656836,0.020537897,20.31345568
06/17/1975,_SETID,4.445476773,0.003310893,0.014669927,20.38071135
06/18/1975,_SETID,4.441780822,-0.000831396,-0.003695951,20.36376691
06/19/1975,_SETID,4.441780822,0,0,20.36376691
06/20/1975,_SETID,4.437866928,-0.000881154,-0.003913894,20.34582329
06/23/1975,_SETID,4.444498778,0.001494378,0.00663185,20.37622764
06/24/1975,_SETID,4.44792176,0.000770162,0.003422983,20.39192063
