Date,Ticker,Close,Close_Percent_Change,Period_Change,Real_Close
01/06/1958,_AORDD,150.6985212,,,2089.810207
01/07/1958,_AORDD,150.7264996,0.000185658,0.027978378,2090.198197
01/08/1958,_AORDD,151.1117331,0.002555845,0.385233542,2095.540419
01/09/1958,_AORDD,151.3270997,0.001425214,0.21536657,2098.527013
01/10/1958,_AORDD,151.2399194,-0.000576105,-0.087180309,2097.318041
01/13/1958,_AORDD,151.5536875,0.002074638,0.313768159,2101.669217
01/14/1958,_AORDD,152.0042601,0.002973023,0.450572576,2107.917528
01/15/1958,_AORDD,152.5077302,0.003312211,0.503470137,2114.899395
01/16/1958,_AORDD,152.3978495,-0.000720493,-0.109880764,2113.375625
01/17/1958,_AORDD,152.3489128,-0.000321111,-0.048936663,2112.696996
01/20/1958,_AORDD,152.3717201,0.000149704,0.022807317,2113.013276
01/21/1958,_AORDD,152.5687374,0.001293004,0.197017268,2115.745411
01/22/1958,_AORDD,152.671153,0.000671275,0.102415598,2117.165658
01/23/1958,_AORDD,152.3377075,-0.002184077,-0.333445491,2112.541607
01/24/1958,_AORDD,152.1558995,-0.001193454,-0.181807986,2110.020386
01/28/1958,_AORDD,152.5235584,0.002416331,0.367658941,2115.118893
01/29/1958,_AORDD,152.489345,-0.000224316,-0.03421345,2114.644438
01/30/1958,_AORDD,153.0010096,0.003355412,0.51166465,2121.739942
01/31/1958,_AORDD,154.03186,0.00673754,1.030850348,2136.035249
02/03/1958,_AORDD,155.3325853,0.008444521,1.300725283,2154.073044
02/04/1958,_AORDD,155.5494949,0.001396421,0.216909671,2157.081036
02/05/1958,_AORDD,156.1969255,0.004162216,0.647430544,2166.059273
02/06/1958,_AORDD,156.8716338,0.0043196,0.674708259,2175.415783
02/07/1958,_AORDD,157.1143402,0.001547166,0.242706463,2178.781512
02/10/1958,_AORDD,157.9206331,0.005131886,0.806292923,2189.962771
02/11/1958,_AORDD,158.3680961,0.002833467,0.447462955,2196.167959
02/12/1958,_AORDD,158.6790525,0.001963504,0.310956444,2200.480144
02/13/1958,_AORDD,158.9316498,0.001591875,0.252597295,2203.983035
02/14/1958,_AORDD,158.9013468,-0.000190667,-0.03030303,2203.562808
02/17/1958,_AORDD,158.3453076,-0.003499273,-0.556039213,2195.85194
02/18/1958,_AORDD,157.7992815,-0.003448325,-0.546026044,2188.279929
02/19/1958,_AORDD,157.5287318,-0.001714518,-0.270549783,2184.528083
02/20/1958,_AORDD,157.2937149,-0.001491898,-0.235016835,2181.268989
02/21/1958,_AORDD,158.0568768,0.004851827,0.763161896,2191.852129
02/24/1958,_AORDD,157.9783584,-0.000496773,-0.078518447,2190.763275
02/25/1958,_AORDD,158.1371582,0.0010052,0.158799849,2192.96543
02/26/1958,_AORDD,158.0811507,-0.000354171,-0.056007565,2192.188746
02/27/1958,_AORDD,158.2427772,0.001022427,0.161626495,2194.4301
02/28/1958,_AORDD,158.3875308,0.000914757,0.144753681,2196.43747
03/03/1958,_AORDD,158.0744729,-0.001976532,-0.313057979,2192.096142
03/04/1958,_AORDD,157.9859834,-0.000559796,-0.088489453,2190.869015
03/05/1958,_AORDD,158.1753756,0.001198791,0.18939224,2193.49541
03/06/1958,_AORDD,158.1830007,4.82062E-05,0.007625028,2193.60115
03/07/1958,_AORDD,158.642777,0.00290661,0.459776357,2199.977094
03/10/1958,_AORDD,158.246354,-0.00249884,-0.39642298,2194.479702
03/11/1958,_AORDD,158.1478573,-0.000622427,-0.098496747,2193.1138
03/12/1958,_AORDD,158.1501795,1.46834E-05,0.00232215,2193.146002
03/13/1958,_AORDD,158.5875028,0.002765241,0.437323352,2199.210579
03/14/1958,_AORDD,159.2696881,0.004301634,0.682185326,2208.670777
03/17/1958,_AORDD,160.1185775,0.005329887,0.848889387,2220.442742
03/18/1958,_AORDD,160.6415751,0.003266314,0.522997532,2227.695405
03/19/1958,_AORDD,160.1357111,-0.003149023,-0.505863969,2220.680342
