Date,Ticker,Close,Close_Percent_Change,Period_Change,Real_Close
01/04/1982,_IGRAD,10.11943941,,,323201400.6
01/05/1982,_IGRAD,9.930807216,-0.018640577,-0.18863219,317176739.9
01/06/1982,_IGRAD,9.852490682,-0.00788622,-0.078316534,314675414.3
01/07/1982,_IGRAD,9.827504151,-0.002536062,-0.024986531,313877377.8
01/08/1982,_IGRAD,9.843297867,0.001607093,0.015793716,314381808
01/11/1982,_IGRAD,9.715376362,-0.012995797,-0.127921504,310296165.7
01/12/1982,_IGRAD,9.807948054,0.009528369,0.092571692,313252782.1
01/13/1982,_IGRAD,9.781488513,-0.002697765,-0.026459541,312407699.7
01/14/1982,_IGRAD,9.775476827,-0.000614598,-0.006011686,312215694.4
01/15/1982,_IGRAD,9.72523524,-0.005139553,-0.050241586,310611045.2
01/18/1982,_IGRAD,9.82346373,0.010100372,0.09822849,313748332.1
01/19/1982,_IGRAD,9.730625076,-0.009450705,-0.092838654,310783189.3
01/20/1982,_IGRAD,9.839931536,0.011233241,0.10930646,314274291.9
01/21/1982,_IGRAD,9.790879257,-0.004985022,-0.049052279,312707627.5
01/22/1982,_IGRAD,9.836435312,0.004652908,0.045556056,314162627.2
01/25/1982,_IGRAD,9.747799804,-0.009010938,-0.088635509,311331727.2
01/26/1982,_IGRAD,9.779970185,0.003300271,0.032170382,312359206.3
01/27/1982,_IGRAD,9.880827932,0.010312684,0.100857747,315580468.2
01/28/1982,_IGRAD,9.831495325,-0.004992761,-0.049332607,314004850.6
01/29/1982,_IGRAD,9.858223993,0.002718678,0.026728668,314858528.6
02/01/1982,_IGRAD,9.928156968,0.007093872,0.069932975,305370062.6
02/02/1982,_IGRAD,9.973154426,0.004532307,0.044997458,306754093.5
02/03/1982,_IGRAD,9.952358037,-0.002085237,-0.020796389,306114438.6
02/04/1982,_IGRAD,9.996983029,0.004483861,0.044624992,307487013.3
02/05/1982,_IGRAD,10.0015385,0.000455684,0.004555467,307627130.2
02/08/1982,_IGRAD,9.889081719,-0.011243948,-0.112456777,304168186.8
02/09/1982,_IGRAD,9.846375106,-0.004318562,-0.042706613,302854617.6
02/10/1982,_IGRAD,9.822036189,-0.002471866,-0.024338917,302106001.7
02/11/1982,_IGRAD,9.775682339,-0.004719373,-0.046353851,300680250.8
02/12/1982,_IGRAD,9.773298813,-0.000243822,-0.002383526,300606938.4
02/15/1982,_IGRAD,9.653544778,-0.012253185,-0.119754035,296923546.1
02/16/1982,_IGRAD,9.987819957,0.034627195,0.334275179,307205175.7
02/17/1982,_IGRAD,10.64115354,0.065413032,0.653333587,327300397.7
02/18/1982,_IGRAD,10.65171702,0.0009927,0.010563474,327625308.8
02/19/1982,_IGRAD,10.30266498,-0.032769556,-0.349052035,316889172.9
02/22/1982,_IGRAD,10.24206265,-0.005882199,-0.060602329,315025167.7
02/23/1982,_IGRAD,10.07211596,-0.016593015,-0.169946698,309797950.4
02/24/1982,_IGRAD,9.786907686,-0.028316619,-0.28520827,301025519.9
02/25/1982,_IGRAD,9.612112809,-0.017860072,-0.174794877,295649182.4
02/26/1982,_IGRAD,9.829994369,0.022667395,0.217881561,302350779.3
03/01/1982,_IGRAD,9.829432305,-5.71785E-05,-0.000562065,284036036.2
03/02/1982,_IGRAD,9.763430007,-0.006714762,-0.066002298,282128801.9
03/03/1982,_IGRAD,9.757048623,-0.000653601,-0.006381384,281944402.3
03/04/1982,_IGRAD,9.689892095,-0.006882873,-0.067156528,280003814.8
03/05/1982,_IGRAD,9.63975048,-0.005174631,-0.050141615,278554898.4
03/08/1982,_IGRAD,9.67989605,0.004164586,0.040145569,279714964.2
03/09/1982,_IGRAD,9.681230827,0.000137892,0.001334777,279753534.6
03/10/1982,_IGRAD,9.56041871,-0.012479004,-0.120812116,276262489.1
03/11/1982,_IGRAD,9.412355537,-0.015487101,-0.148063173,271983984
03/12/1982,_IGRAD,9.447538902,0.003737998,0.035183365,273000659.5
03/15/1982,_IGRAD,9.431111855,-0.001738765,-0.016427047,272525975.6
03/16/1982,_IGRAD,9.455564964,0.002592813,0.024453109,273232584.5
03/17/1982,_IGRAD,9.330223614,-0.013255829,-0.12534135,269610660.2
03/18/1982,_IGRAD,9.165935498,-0.017608165,-0.164288116,264863311.2
03/19/1982,_IGRAD,9.017400558,-0.016205104,-0.14853494,260571173.6
03/22/1982,_IGRAD,8.917131073,-0.011119555,-0.100269485,257673738
03/23/1982,_IGRAD,8.86352836,-0.006011206,-0.053602713,256124808.1
03/24/1982,_IGRAD,8.798271363,-0.007362418,-0.065256997,254239110.3
03/25/1982,_IGRAD,8.769228201,-0.003301008,-0.029043161,253399865
03/26/1982,_IGRAD,8.783679484,0.001647954,0.014451282,253817456.3
03/29/1982,_IGRAD,8.725119728,-0.006666882,-0.058559756,252125285.2
03/30/1982,_IGRAD,8.603656206,-0.01392113,-0.121463522,248615416.4
03/31/1982,_IGRAD,8.501547498,-0.01186806,-0.102108708,245664833.8
04/01/1982,_IGRAD,8.554661095,0.006247521,0.053113597,236915110
04/02/1982,_IGRAD,8.423999425,-0.01527374,-0.13066167,233296530.2
04/05/1982,_IGRAD,8.362846729,-0.007259342,-0.061152696,231602950.8
04/06/1982,_IGRAD,8.305851306,-0.006815314,-0.056995422,230024504.1
04/07/1982,_IGRAD,8.323401625,0.002113007,0.017550318,230510547.4
04/08/1982,_IGRAD,8.203118972,-0.014451141,-0.120282653,227179406.9
04/12/1982,_IGRAD,8.015068018,-0.022924324,-0.188050954,221971472.6
04/13/1982,_IGRAD,7.936660027,-0.009782573,-0.078407991,219800020.4
