Date,Ticker,Close,Close_Percent_Change,Period_Change,Real_Close
01/02/1992,_IGBCD,0.575632516,,,4.001844385
01/03/1992,_IGBCD,0.575977296,0.000598959,0.00034478,4.004241325
01/07/1992,_IGBCD,0.581052059,0.008810701,0.005074763,4.039521497
01/08/1992,_IGBCD,0.583941378,0.004972564,0.002889319,4.059608278
01/09/1992,_IGBCD,0.593519788,0.016403033,0.00957841,4.126198166
01/10/1992,_IGBCD,0.601108449,0.01278586,0.007588661,4.178955157
01/13/1992,_IGBCD,0.635048102,0.056461781,0.033939653,4.414906406
01/14/1992,_IGBCD,0.635201149,0.000241,0.000153047,4.415970399
01/15/1992,_IGBCD,0.652974456,0.027980596,0.017773307,4.539531885
01/16/1992,_IGBCD,0.647274938,-0.008728546,-0.005699517,4.499908373
01/17/1992,_IGBCD,0.652118926,0.007483664,0.004843988,4.533584174
01/20/1992,_IGBCD,0.659251934,0.0109382,0.007133007,4.583173426
01/21/1992,_IGBCD,0.667732495,0.012863916,0.008480562,4.642130985
01/22/1992,_IGBCD,0.662399821,-0.007986244,-0.005332675,4.605057793
01/23/1992,_IGBCD,0.671366178,0.013536171,0.008966357,4.667392642
01/24/1992,_IGBCD,0.698740863,0.040774597,0.027374685,4.857703697
01/27/1992,_IGBCD,0.700810349,0.002961736,0.002069486,4.872090935
01/28/1992,_IGBCD,0.715742274,0.021306655,0.014931924,4.975898897
01/29/1992,_IGBCD,0.787918978,0.100841751,0.072176704,5.477677256
01/30/1992,_IGBCD,0.765857047,-0.028000253,-0.022061931,5.324300904
01/31/1992,_IGBCD,0.765759034,-0.000127978,-9.80126E-05,5.323619512
02/03/1992,_IGBCD,0.725838086,-0.052132521,-0.039920949,4.882759254
02/04/1992,_IGBCD,0.720774097,-0.006976747,-0.005063988,4.84869348
02/05/1992,_IGBCD,0.705844264,-0.020713609,-0.014929833,4.748259538
02/06/1992,_IGBCD,0.705961204,0.000165673,0.00011694,4.749046198
02/07/1992,_IGBCD,0.7026464,-0.004695447,-0.003314804,4.726747302
02/10/1992,_IGBCD,0.703262033,0.000876163,0.000615633,4.730888701
02/11/1992,_IGBCD,0.716819887,0.019278524,0.013557854,4.822093251
02/12/1992,_IGBCD,0.717855219,0.001444341,0.001035332,4.829057998
02/13/1992,_IGBCD,0.717532572,-0.00044946,-0.000322647,4.826887532
02/14/1992,_IGBCD,0.713401007,-0.005758018,-0.004131565,4.799094228
02/17/1992,_IGBCD,0.712114047,-0.001803979,-0.00128696,4.790436764
02/18/1992,_IGBCD,0.693899932,-0.025577524,-0.018214114,4.66790925
02/19/1992,_IGBCD,0.694599814,0.001008621,0.000699882,4.672617404
02/20/1992,_IGBCD,0.707051294,0.017926121,0.01245148,4.756379307
02/21/1992,_IGBCD,0.701295502,-0.008140558,-0.005755792,4.717659724
02/24/1992,_IGBCD,0.703230082,0.00275858,0.00193458,4.730673768
02/25/1992,_IGBCD,0.699015071,-0.005993787,-0.004215011,4.702319117
02/26/1992,_IGBCD,0.694833704,-0.005981798,-0.004181367,4.674190792
02/27/1992,_IGBCD,0.673395521,-0.030853689,-0.021438183,4.529974764
02/28/1992,_IGBCD,0.654339815,-0.028297939,-0.019055706,4.401785812
03/02/1992,_IGBCD,0.640553549,-0.02106897,-0.013786266,4.211415899
03/03/1992,_IGBCD,0.638984984,-0.002448765,-0.001568565,4.201103131
03/04/1992,_IGBCD,0.6376219,-0.002133202,-0.001363084,4.192141329
03/05/1992,_IGBCD,0.630764805,-0.01075417,-0.006857095,4.147058327
03/06/1992,_IGBCD,0.630559032,-0.000326229,-0.000205774,4.145705437
03/09/1992,_IGBCD,0.642831322,0.019462555,0.01227229,4.22639146
03/10/1992,_IGBCD,0.649127478,0.009794414,0.006296156,4.267786487
03/11/1992,_IGBCD,0.64500762,-0.006346762,-0.004119858,4.24069986
03/12/1992,_IGBCD,0.650628259,0.008714066,0.005620639,4.2776536
03/13/1992,_IGBCD,0.65458147,0.00607599,0.003953211,4.303644579
03/16/1992,_IGBCD,0.661703458,0.010880216,0.007121988,4.350469163
03/17/1992,_IGBCD,0.659782954,-0.002902363,-0.001920504,4.337842522
03/18/1992,_IGBCD,0.657682321,-0.003183825,-0.002100634,4.324031589
03/19/1992,_IGBCD,0.658503011,0.001247853,0.000820691,4.329427344
03/20/1992,_IGBCD,0.656810315,-0.002570521,-0.001692696,4.318298459
03/24/1992,_IGBCD,0.654687632,-0.003231805,-0.002122683,4.304342561
03/25/1992,_IGBCD,0.644488513,-0.015578604,-0.01019912,4.237286911
03/26/1992,_IGBCD,0.637558324,-0.010753006,-0.006930189,4.191723338
03/27/1992,_IGBCD,0.626590403,-0.017203007,-0.01096792,4.119613091
03/30/1992,_IGBCD,0.621079503,-0.008795061,-0.005510901,4.083380844
03/31/1992,_IGBCD,0.622876428,0.00289323,0.001796926,4.095195003
04/01/1992,_IGBCD,0.621996456,-0.001412756,-0.000879972,3.975990964
04/02/1992,_IGBCD,0.619253321,-0.004410211,-0.002743135,3.958456006
04/03/1992,_IGBCD,0.607961226,-0.018235017,-0.011292095,3.886273493
04/06/1992,_IGBCD,0.60406523,-0.006408297,-0.003895996,3.861369099
04/07/1992,_IGBCD,0.594812206,-0.015317922,-0.009253024,3.80222095
04/08/1992,_IGBCD,0.604049124,0.015529133,0.009236918,3.861266146
04/09/1992,_IGBCD,0.611330752,0.012054695,0.007281628,3.907812532
04/10/1992,_IGBCD,0.608036631,-0.005388444,-0.003294121,3.886755504
04/13/1992,_IGBCD,0.607607235,-0.0007062,-0.000429395,3.884010679
04/14/1992,_IGBCD,0.603623049,-0.006557174,-0.003984187,3.858542544
04/15/1992,_IGBCD,0.607956067,0.007178351,0.004333018,3.886240516
04/20/1992,_IGBCD,0.608752353,0.001309776,0.000796286,3.891330621
04/21/1992,_IGBCD,0.621298668,0.020609883,0.012546315,3.971530489
04/22/1992,_IGBCD,0.621176733,-0.000196258,-0.000121935,3.970751045
