Date,Ticker,Close,Close_Percent_Change,Period_Change,Real_Close
04/30/1975,_SETID,100,,,545.8176799
05/01/1975,_SETID,100,0,0,540.7072888
05/02/1975,_SETID,99.96,-0.0004,-0.04,540.4910059
05/05/1975,_SETID,99.96,0,0,540.4910059
05/06/1975,_SETID,99.53,-0.004301721,-0.43,538.1659646
05/07/1975,_SETID,99.13,-0.004018889,-0.4,536.0031354
05/08/1975,_SETID,97.88,-0.012609704,-1.25,529.2442943
05/09/1975,_SETID,96.64,-0.012668574,-1.24,522.5395239
05/12/1975,_SETID,95.37,-0.013141556,-1.27,515.6725414
05/13/1975,_SETID,92.55,-0.029569047,-2.82,500.4245958
05/14/1975,_SETID,92.11,-0.004754187,-0.44,498.0454837
05/15/1975,_SETID,90.32,-0.019433286,-1.79,488.3668233
05/16/1975,_SETID,89.45,-0.009632418,-0.87,483.6626699
05/19/1975,_SETID,87.11,-0.026159866,-2.34,471.0101193
05/20/1975,_SETID,85.73,-0.015842039,-1.38,463.5483587
05/21/1975,_SETID,85.73,0,0,463.5483587
05/22/1975,_SETID,90.94,0.060772192,5.21,491.7192085
05/23/1975,_SETID,91.91,0.010666373,0.97,496.9640692
05/26/1975,_SETID,90.69,-0.013273855,-1.22,490.3674402
05/27/1975,_SETID,88.89,-0.019847833,-1.8,480.634709
05/28/1975,_SETID,89.57,0.007649904,0.68,484.3115186
05/29/1975,_SETID,89.98,0.004577425,0.41,486.5284185
05/30/1975,_SETID,89.98,0,0,486.5284185
06/02/1975,_SETID,89.53,-0.005001111,-0.45,488.9421765
06/03/1975,_SETID,89.53,0,0,488.9421765
06/04/1975,_SETID,89.42,-0.001228638,-0.11,488.3414433
06/05/1975,_SETID,89.56,0.001565645,0.14,489.1060128
06/06/1975,_SETID,89.55,-0.000111657,-0.01,489.0514007
06/09/1975,_SETID,89.54,-0.000111669,-0.01,488.9967886
06/10/1975,_SETID,89.54,0,0,488.9967886
06/11/1975,_SETID,89.99,0.005025687,0.45,491.4543333
06/12/1975,_SETID,90.03,0.000444494,0.04,491.6727817
06/13/1975,_SETID,90.19,0.001777185,0.16,492.5465754
06/16/1975,_SETID,90.61,0.004656836,0.42,494.8402838
06/17/1975,_SETID,90.91,0.003310893,0.3,496.478647
06/18/1975,_SETID,90.79,-0.001319987,-0.12,495.8233017
06/19/1975,_SETID,90.79,0,0,495.8233017
06/20/1975,_SETID,90.71,-0.000881154,-0.08,495.3864049
06/23/1975,_SETID,90.89,0.001984346,0.18,496.3694228
06/24/1975,_SETID,90.96,0.000770162,0.07,496.7517075
06/25/1975,_SETID,91.38,0.004617414,0.42,499.0454159
06/26/1975,_SETID,91.12,-0.002845262,-0.26,497.6255012
06/27/1975,_SETID,91.27,0.001646181,0.15,498.4446827
06/30/1975,_SETID,91.64,0.004053906,0.37,500.4653306
07/01/1975,_SETID,91.64,0,0,501.3012114
07/02/1975,_SETID,91.9,0.002837189,0.26,502.7234977
07/03/1975,_SETID,92.67,0.008378672,0.77,506.9356532
07/04/1975,_SETID,93.93,0.013596633,1.26,513.8282714
07/07/1975,_SETID,95.18,0.013307782,1.25,520.6661862
